Timestamp,DATE OF MURLI,MURLI ,  MURLI DATE ,MURLI  SUBJECT ,Point Details ,MURLI  SUBJECT ,Specify if other,POINT Detail,@dropdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2024 7:08:50,2/28/2024,साकार,,,"1.पाप की दुनिया यह भारत ही है और भारत ही फिर पुण्य की दुनिया स्वर्ग बनता है। भारत ही बहिश्त था, भारत ही दोज़क बना है
2.भारत ही बहिश्त था, भारत ही दोज़क बना है क्योंकि काम चिता पर जलते रहते हैं। वहाँ काम चिता पर कोई जलता नहीं, वहाँ काम चिता है ही नहीं। ऐसे भी नहीं कहेंगे कि सतयुग में काम चिता है, यह समझने की बातें हैं ना
",धर्म ,,"1.आदि सनातन किसको कहा जाता है? आदि माना क्या और सनातन माना क्या? आदि माना सतयुग। तो सतयुग में कौन थे? यह तो सबको मालूम है कि लक्ष्मी-नारायण थे। जरूर वे भी किसकी सन्तान होंगे जो फिर सतयुग के मालिक बनें। सतयुग स्थापन करने वाला था परमपिता परमात्मा, उनकी सन्तान थे।
2.इस समय अपने को उनकी सन्तान नहीं समझते। अगर सन्तान समझते तो बाप को जानते, बाप को तो जानते ही नहीं। अब हिन्दू धर्म तो गीता में है नहीं। गीता में तो भारत नाम पड़ा है वह कहलाते हैं हिन्दू महासभा।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2024 7:12:55,,,,गीता जयंती- शिव जयंती ,"1. श्रीमत भगवत गीता है सर्वशास्त्रमई शिरोमणी। गीता जयन्ती भी मनाई जाती है, शिव जयन्ती भी मनाई जाती है। अब शिव जयन्ती कब हुई है-यह भी मालूम होना चाहिए। फिर है श्रीकृष्ण जयन्ती। अभी तुम बच्चे जान चुके हो कि शिव जयन्ती के बाद है गीता जयन्ती। गीता जयन्ती के बाद है श्रीकृष्ण जयन्ती। गीता जयन्ती से ही देवी-देवता धर्म की स्थापना होती है।
",महाभारत- यादव ,," 1.गीता जयन्ती के साथ महाभारत का भी कनेक्शन है। उसमें फिर आती है युद्ध की बात। दिखाते हैं युद्ध के मैदान में 3 सेनायें थी। 
2.यादव, कौरव और पाण्डव दिखाते हैं। यादव मूसल निकालते हैं। वहाँ शराब पिया और मूसल निकाले। तुम जानते हो अभी बरोबर मूसल भी निकल रहे हैं। वह भी अपने कुल का विनाश करने एक-दूसरे को धमकी दे रहे हैं। 
3.सब क्रिश्चियन लोग हैं। वही यूरोपवासी यादव ठहरे। तो एक है उन्हों की सभा। उनका विनाश हुआ, आपस में लड़ मरे। उसमें सारा यूरोप आ गया।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2024 7:17:59,,,,महाभारत- कौरव और पांडव,2.यहाँ फिर है कौरव और पाण्डव। कौरव भी विनाश को प्राप्त हुए और विजय पाण्डवों की हुई,,गीता का भगवान,"1.गीता का भगवान् कौन, जिसने सहज योग और सहज ज्ञान सिखलाकर राजाओं का राजा बनाया अथवा पावन दुनिया स्थापन की? 
2.क्या श्रीकृष्ण आया? कौरव तो कलियुग में थे। कौरव-पाण्डवों के समय श्रीकृष्ण कैसे आ सकता?
3. श्रीकृष्ण जयन्ती मनाते हैं, सतयुग आदि में 16 कला। श्रीकृष्ण के बाद फिर त्रेता में 14 कला राम की। श्रीकृष्ण तो प्रिन्स का भी प्रिन्स है। विकारी प्रिन्स लोग श्रीकृष्ण को पूजते हैं क्योंकि जानते हैं वह सतयुग का 16 कला सम्पूर्ण प्रिन्स था, हम विकारी हैं। जरूर प्रिन्स लोग भी ऐसे कहेंगे ना। ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/2024 6:59:06,,अव्यक्त,23-04-93,Shiv जयंती ,"1.शिव जयन्ती भी है, मन्दिर भी बड़े से बड़ा उनका ही बना हुआ है। वह है निराकार शिव का मन्दिर। उनको ही परमपिता परमात्मा कहेंगे। 
2 ब्रह्मा-विष्णु-शंकर भी देवता ही ठहरे।
3.शिव जयन्ती भारत में ही मनाई जाती है। अब देखो शिव जयन्ती आने वाली है। सिद्धकर समझाना है शिव को ही कहा जाता है ज्ञान का सागर अर्थात् सृष्टि को पावन करने वाला परमपिता परमात्मा। गांधी भी गाते थे, श्रीकृष्ण का नाम नहीं लेते थे। 
4.प्रश्न उठता है शिव जयन्ती सो गीता जयन्ती या श्रीकृष्ण जयन्ती सो गीता जयन्ती? अब श्रीकृष्ण जयन्ती तो सतयुग में कहेंगे। शिव की जयन्ती कब हुई थी-किसको पता नहीं
5.शिव तो है निराकार परमपिता परमात्मा, उसने सृष्टि रची संगम पर। सतयुग में था श्रीकृष्ण का राज्य। तो जरूर पहले शिव जयन्ती होगी।
6.. बच्चे जो ब्राह्मण कुल भूषण सर्विस में तत्पर रहते हैं उन्हों को यह बातें बुद्धि में लानी हैं कि भारतवासियों को कैसे सिद्धकर बतायें कि शिवजयन्ती सो गीता जयन्ती। 
7.फिर गीता से होती है श्रीकृष्ण जयन्ती अथवा राजाओं के राजा की जयन्ती। श्रीकृष्ण है पावन दुनिया का राजा। वहाँ तो है राजाई।
8. वहाँ श्रीकृष्ण ने जन्म लेकर गीता तो गाई नहीं और सतयुग में महाभारत लड़ाई आदि तो हो नहीं सकती। वह जरूर संगम पर हुई होगी। तुम बच्चों को अच्छी तरह इन बातों पर समझाना है।",पाण्डव और कौरव ,,"1.पाण्डव और कौरव सभा मशहूर है। पाण्डव पति दिखलाते हैं श्रीकृष्ण को। समझते हैं उसने सहज ज्ञान और सहज राजयोग सिखलाया। 
2.अब वास्तव में लड़ाई की तो कोई बात ही नहीं। विजय पाण्डवों की हुई है, जिन्हों को परमपिता परमात्मा ने सहज राजयोग सिखलाया
3. तो पहले समझाना है, हिन्दू महासभा वालों को। सभायें तो और भी हैं-लोक सभा, राज्य सभा। यह हिन्दू सभा है मुख्य। जैसे 3 सेनायें गाई हुई हैं यादव, कौरव और पाण्डव... और यह हुए भी संगम पर
4.अभी सतयुग की स्थापना हो रही है। श्रीकृष्ण के जन्म की तैयारी हो रही है। गीता जरूर संगम पर ही गाई है। अब संगम पर किसको लायें? श्रीकृष्ण तो आ न सकें। उनको क्या पड़ी है जो पावन दुनिया छोड़ पतित दुनिया में आये और श्रीकृष्ण तो है भी नहीं। तुम जानते हो अब वह 84वें जन्म में है कई लोग फिर समझते हैं श्रीकृष्ण हाज़िराहज़ूर है, सर्वव्यापी है। श्रीकृष्ण के भक्त कहेंगे यह सब कृष्ण ही कृष्ण हैं। श्रीकृष्ण ने यह सब रूप धरे हैं।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/2024 7:09:51,2/29/2024,अव्यक्त,23-04-93,Audience /Title/याद दिलाना ," 1.सर्व अति स्नेही, 
2.आदि से यज्ञ की स्थापना के सहयोगी, 
3.अनेक प्रकार के आये हुए भिन्न-भिन्न समस्याओं के पेपर में निश्चयबुद्धि विजयी बन पार करने वाली 
4 आदि स्नेही, 
5.सहयोगी, 
6.अटल,
 7.अचल 
आत्माओं से मिलन मनाने आये हैं",निश्चय बुद्धि ,,"1.निश्चय की सब्जेक्ट में पास हो चलने वाले बच्चों के पास आये हैं। 
2 यह निश्चय चाहे इस पुरानी जीवन में, चाहे अगले जीवन में भी सदा विजय का अनुभव कराती रहेगी। 
3 ‘निश्चय' का, ‘अमर भव' का वरदान सदा साथ रहे",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/2024 7:15:39,,अव्यक्त,23-04-93,याद दिलाना ,"1.आज जो बहुतकाल की अनुभवी बुजुर्ग आत्मायें हैं,
 उन्हों के याद और स्नेह के बन्धन में बंधकर बाप आये हैं। 2.निश्चय की मुबारक!",Foundation आत्मायें/ किले की पहली ईंट,,"1.एक तरफ यज्ञ अर्थात् पाण्डवों के किले का जो नींव अर्थात् फाउण्डेशन आत्मायें हैं वह भी सभी सामने हैं
2  दूसरे तरफ आप अनुभवी आदि आत्मायें इस पाण्डवों के किले की दीवार की पहली ईटें हो।
3. फाउण्डेशन भी सामने है और आदि ईटे, जिनके आधार पर यह किला मजबूत बन विश्व की छत्रछाया बना, वह भी सामने हैं। ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/2024 7:18:38,,अव्यक्त,23-04-93,Directions," 1.बाप ने बच्चों के स्नेह में ''जी हज़ूर, हाज़िर” करके दिखाया, ऐसे ही सदा बापदादा और निमित्त आत्माओं की श्रीमत वा डायरेक्शन को सदा ‘जी हाज़िर' करते रहना।
2. कभी  भी व्यर्थ मनमत वा परमत नहीं मिलाना। हाज़िर हज़ूर को जान श्रीमत पर उड़ते चलो। समझा? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2024 7:05:53,3/1/2024,साकार,,पुरुषार्थ,"1. पवित्र हो कर वापस जाना है 
2.नहीं तो सजा खानी पड़ेगी और पद भी भ्रष्ट हो जायेगा। इतना फ़र्क है जैसे यहाँ राव और रंक, वैसे वहाँ राव और रंक बनते हैं। सारा मदार पुरूषार्थ पर है।
3.आत्मा जो तमोप्रधान बनी है उसको सतोप्रधान बनना है। अब सतोप्रधान कैसे बने - यह भी सीढ़ी पर समझाया है।
4.दैवी गुण भी धारण करने हैं
5.CHECKING .स्कूल में रजिस्टर रखते हैं गुड, बैटर, बेस्ट का। जो सर्विसएबुल बच्चे हैं वह बहुत मीठे हैं। उनका रजिस्टर अच्छा है। अगर रजिस्टर अच्छा नहीं है तो वह उछलते नहीं हैं। सारा मदार है पढ़ाई, योग और दैवी गुणों पर।
",संगमयुग  ब्राह्मण  स्वदर्शन चक्र,,"1.। पहले हम शूद्र वर्ण के थे, अब ब्राह्मण वर्ण के हैं। प्रजापिता ब्रह्मा के बच्चे हम ब्राह्मण हैं, यह तो बहुतों को भूल जाता है। जबकि तुम बाप को याद करते हो तो ब्रह्मा को भी याद करना पड़े। हम ब्राह्मण कुल के हैं - यह भी नशा चढ़े
2.भूल जाते तो यह नशा नहीं चढ़ता है कि हम ब्राह्मण कुल के हैं फिर देवता कुल के बनेंगे। ब्राह्मण कुल किसने बनाया? ब्रह्मा द्वारा मैं तुमको ब्राह्मण कुल में ले आता हूँ। ब्राह्मणों की यह डिनायस्टी नहीं है। छोटा-सा कुल है। 
3.अपने को अब ब्राह्मण समझेंगे तो देवता भी बनेंगे",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2024 7:14:08,3/1/2024,साकार,,पुरुषार्थ,"पुरूषार्थ
1.याद में बैठ जाओ
2.तुम्हारे पास बैज बहुत अच्छा है, इसमें लक्ष्मी-नारायण का चित्र भी है, त्रिमूर्ति भी है।
3  बाबा हमें ऐसा बनाते हैं! बस, यही मन्मनाभव है। कोई को आदत पड़ जाती है, कोई को नहीं पड़ती है
4.भक्ति तो अब पूरी हुई। अब बाप को याद करना है। अब बेहद का बाप तुमको बेहद का वर्सा देते हैं, तो खुशी होती है। किसको अच्छी लगन लग जाती है, किसको बहुत कम। है बहुत सहज।
5.मन्मनाभव-गीता के आदि और अन्त में अक्षर है मन्मनाभव। यह वो ही गीता एपीसोड है। 
सिर्फ श्रीकृष्ण का नाम डाल दिया है। भक्ति मार्ग में जो भी दृष्टान्त आदि हैं वह सब इस समय के हैं।
6.",मन्मनाभव,,"1.मन्मनाभव-गीता के आदि और अन्त में अक्षर है मन्मनाभव। यह वो ही गीता एपीसोड है। 
सिर्फ श्रीकृष्ण का नाम डाल दिया है। भक्ति मार्ग में जो भी दृष्टान्त आदि हैं वह सब इस समय के हैं
2.भक्ति मार्ग में कोई ऐसे नहीं कहेंगे कि देह का भान भी छोड़ो, अपने को आत्मा समझो। यहाँ तुमको यह शिक्षा बाप आते ही देते हैं।
3. यह निश्चय है - देवी-देवता धर्म की स्थापना हमारे द्वारा हो रही है। राजधानी भी स्थापन हो रही है, इसमें लड़ाई आदि की बात नहीं है।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2024 7:29:54,3/1/2024,साकार,,पवित्रता,"1.बाप अब तुम्हें पवित्रता सिखाते हैं, वह भी आधाकल्प कायम रहेगी। 
2. Baikunth- वहाँ रावण राज्य ही नहीं। विकारों पर तुम अब जीत पा रहे हो
-यह तुम जानते हो कि हमने हूबहू कल्प पहले जैसे राजधानी स्थापन की थी, वैसे अब कर रहे हैं। हमारे लिये यह पुरानी दुनिया खत्म होने वाली है
- ड्रामा का चक्र फिरता रहता है। वहाँ सोना ही सोना होगा। जो था वह फिर होगा, इसमें मूँझने की बात नहीं है। माया मच्छन्दर का खेल दिखाते हैं। ध्यान में सोने की ईटें देखा। तुम भी बैकुण्ठ में सोने के महल देखते हो। वहाँ की चीज़ें तुम यहाँ नहीं ला सकते हो। यह है साक्षात्कार। भक्ति में तुम इन बातों को नहीं जानते थे। 
-भक्ति में तुम इन बातों को नहीं जानते थे। अब बाप कहते हैं - मैं आया हूँ तुमको ले जाने के लिये। तुम्हारे बिगर बेआरामी होती है। जब समय आता है तो हमको बेआरामी हो जाती है - बस जाऊं, बच्चे बहुत दु:खी हैं, पुकारते हैं। तरस पड़ता है - बस, जाऊं। ड्रामा में जब समय होता है तब ख्याल होता है - बस जाऊं। नाटक दिखाते हैं विष्णु अवतरण। लेकिन विष्णु अवतरण तो होता ही नहीं। दिन-प्रतिदिन मनुष्यों की बुद्धि खत्म होती जाती है। कुछ समझ में नहीं आता",परमात्मा,,"1.- अब बाप कहते हैं - मैं आया हूँ तुमको ले जाने के लिये। तुम्हारे बिगर बेआरामी होती है। जब समय आता है तो हमको बेआरामी हो जाती है - बस जाऊं, बच्चे बहुत दु:खी हैं, पुकारते हैं। तरस पड़ता है - बस, जाऊं। ड्रामा में जब समय होता है तब ख्याल होता है - बस जाऊं। नाटक दिखाते हैं विष्णु अवतरण। लेकिन विष्णु अवतरण तो होता ही नहीं। दिन-प्रतिदिन मनुष्यों की बुद्धि खत्म होती जाती है। कुछ समझ में नहीं आता
2.आत्मा पतित बन पड़ी है। अब बाप कहते हैं - बच्चे, पावन बनो तो राम राज्य हो। राम को जानते नहीं। शिव की पूजा जो की जाती है उनको राम नहीं कहेंगे। शिवबाबा कहना शोभता है।
3. बाप खुद कहते हैं - मीठे बच्चे, मैं तुमको ले जाने आया हूँ। फिर तुम्हारी आत्मा वहाँ से आपेही सुखधाम चली जायेगी। वहाँ तुम्हारा साथी नहीं बनूँगा। अपनी अवस्था अनुसार तुम्हारी आत्मा जाकर दूसरे शरीर में, गर्भ में प्रवेश करेगी। द
4 दिखाते हैं सागर में पीपल के पत्ते पर श्रीकृष्ण आया। सागर की तो बात ही नहीं। गर्भ में बड़े आराम से रहते हैं। बाबा कहते - मैं गर्भ में नहीं जाता । मैं बच्चा नहीं बनता। मेरे बदले श्रीकृष्ण को बच्चा समझ दिल बहलाते हैं। समझते हैं श्रीकृष्ण ने ज्ञान दिया इसलिये उनको बहुत प्यार करते हैं। मैं सभी को साथ ले जाता हूँ। फिर तुमको भेज देता हूँ। फिर मेरा पार्ट पूरा। आधा कल्प कोई पार्ट नहीं। फिर भक्ति मार्ग में पार्ट शुरू होता है। यह भी ड्रामा बना हुआ है।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
